h_address,h_link,h_ranking_users,h_star,r_average,r_excellent,r_poor,r_terrible,r_very_good
"Pl Paisos Catalans, Estacion Barcelona Sants , 08014 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d228507-Reviews-Barcelo_Sants-Barcelona_Catalonia.html,109,4.0,183,660,62,40,595
"La Rambla, 109 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d506158-Reviews-Hotel_1898-Barcelona_Catalonia.html,35,4.0,122,2745,45,44,697
"Arago 325 , 08011 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d232781-Reviews-EuroPark_Hotel-Barcelona_Catalonia.html,30,3.0,122,1860,25,11,840
"Gran Via de les Corts Catalanes, 389-391 , Plaza Espana08015 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d506652-Reviews-B_Hotel-Barcelona_Catalonia.html,60,3.0,99,731,23,10,453
"Gran Via de les Corts Catalanes 642 , 08007 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d208596-Reviews-Hotel_Granvia-Barcelona_Catalonia.html,65,3.0,33,517,14,14,196
"C/ Diputacio, 394 , 08013 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d236190-Reviews-Acta_Antibes-Barcelona_Catalonia.html,133,2.0,56,220,7,2,294
"Avenida Diagonal 201 , (entrada por calle Granada)08018 Barcelona, ",https://www.tripadvisor.com/Hotel_Review-g187497-d1532202-Reviews-Novotel_Barcelona_City-Barcelona_Catalonia.html,214,4.0,192,563,61,33,667
"Avda de Roma 2-4 , 08014 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d289670-Reviews-Gran_Hotel_Torre_Catalunya-Barcelona_Catalonia.html,112,4.5,163,1469,39,22,916
"Hospital, 26 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1450932-Reviews-NH_Barcelona_Ramblas-Barcelona_Catalonia.html,149,3.0,73,277,14,8,289
"Balmes 51 , 08007 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d7184002-Reviews-Hotel_Praktik_Vinoteca-Barcelona_Catalonia.html,66,3.0,42,642,8,5,357
"Carrer Sant Pau 9-11 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d208592-Reviews-Hotel_Espana-Barcelona_Catalonia.html,121,4.0,92,699,25,20,426
"Pau Claris, 150 , 08009 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d190615-Reviews-Hotel_Claris-Barcelona_Catalonia.html,91,3.5,154,929,51,40,369
"Carrer Rec Comtal, 19 , 08003 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d13313633-Reviews-Hotel_Rec_Barcelona-Barcelona_Catalonia.html,5,3.0,0,142,0,0,15
"Pelai 3 , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d296916-Reviews-Hotel_Jazz-Barcelona_Catalonia.html,42,3.0,134,2254,28,14,1084
"Calle Marina 19-21 , 08005 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d190635-Reviews-Hotel_Arts_Barcelona-Barcelona_Catalonia.html,86,5.0,281,2551,107,81,811
"Via Laietana 30 , 08003 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d583963-Reviews-Grand_Hotel_Central-Barcelona_Catalonia.html,21,5.0,65,1418,20,13,338
"Rambla 25 , 08003 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1146187-Reviews-Pension_Picasso-Barcelona_Catalonia.html,500,NaN,10,2,13,15,4
"Fontcuberta 4 , 08034 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d206932-Reviews-Hotel_Pedralbes-Barcelona_Catalonia.html,497,3.0,9,2,6,5,4
"Jonqueres 13 , 08003 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1149523-Reviews-Las_Ramblas_Apartments_III-Barcelona_Catalonia.html,489,NaN,11,8,8,16,12
"C/ Simon Oller, 1 Principal , 08001 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1020431-Reviews-Pension_Segre-Barcelona_Catalonia.html,490,2.0,13,7,12,8,21
"Calle Banys Nous, 3 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1227191-Reviews-Banys_Nous-Barcelona_Catalonia.html,470,NaN,1,1,0,1,0
"Carrer de l'Atlantida , 8003 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1227151-Reviews-Barceloneta_Atlantida-Barcelona_Catalonia.html,464,NaN,1,0,0,0,0
"Carrer de la Merce, 11 , 08002 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1204657-Reviews-Avimer_32-Barcelona_Catalonia.html,463,NaN,0,0,1,0,0
"Manuel Sancho, 2 ((esquina paseo Fabra i Puig) , 08016 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d651523-Reviews-Hostal_Ballestero-Barcelona_Catalonia.html,462,NaN,3,1,1,0,1
"Calle Consejo de Ciento 283 , 08011 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1143988-Reviews-Hotel_Consell_de_Cent-Barcelona_Catalonia.html,450,NaN,0,0,0,0,2
"Catalans 686, 2-2, Eixample , 08014 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1204611-Reviews-Gran_Central_Inn-Barcelona_Catalonia.html,447,NaN,2,0,2,2,4
"68 Carrer de Bailen , 08009 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1205759-Reviews-Bailen-Barcelona_Catalonia.html,446,NaN,0,1,0,1,2
"95 Ausias March , 08013 Barcelona, Spain",https://www.tripadvisor.com/Hotel_Review-g187497-d1201348-Reviews-Serennia_Apartments_Arc_de_Triomf-Barcelona_Catalonia.html,422,3.5,2,5,2,1,4
